province,commodity,area,value
Aceh,Barang tahan lama/Durable goods,rural,27592.0
Aceh,"Pajak, pungutan, dan asuransi/Taxes and insurance",rural,47279.0
Aceh,Keperluan pesta dan upacara/kenduri/Parties and ceremonies,rural,11773.0
Aceh,Jumlah bukan makanan/Total non-food,rural,434342.0
Aceh,Jumlah/Total,rural,1120298.0
Aceh,Padi-padian/Cereals,total,96859.0
Aceh,Umbi-umbian/Tubers,total,6002.0
Aceh,Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,total,91084.0
Aceh,Daging/Meat,total,21829.0
Aceh,Telur dan susu/Eggs and milk,total,26592.0
Aceh,Sayur-sayuran/Vegetables,total,60754.0
Aceh,Kacang-kacangan/Legumes,total,7993.0
Aceh,Buah-buahan/Fruits,total,33975.0
Aceh,Minyak dan kelapa/Oil and coconut,total,19552.0
Aceh,Bahan minuman/Beverages stuffs,total,17395.0
Aceh,Bumbu-bumbuan/Spices,total,14544.0
Aceh,Konsumsi lainnya/Miscellaneous food items,total,8748.0
Aceh,Makanan dan minuman jadi/Prepared food and beverages,total,219398.0
Aceh,Rokok/Cigarettes,total,97708.0
Aceh,Jumlah makanan/Total food,total,722434.0
Aceh,Perumahan dan fasilitas rumah tangga/Housing and household facilities,total,265159.0
Aceh,Aneka barang dan jasa/Goods and services,total,122452.0
Aceh,"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",total,50460.0
Aceh,Barang tahan lama/Durable goods,total,35977.0
Aceh,"Pajak, pungutan, dan asuransi/Taxes and insurance",total,55094.0
Aceh,Keperluan pesta dan upacara/kenduri/Parties and ceremonies,total,13157.0
Aceh,Jumlah bukan makanan/Total non-food,total,542299.0
Aceh,Jumlah/Total,total,1264733.0
Bali,Padi-padian/Cereals,urban,104460.0
Bali,Umbi-umbian/Tubers,urban,6879.0
Bali,Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,urban,45882.0
Bali,Daging/Meat,urban,68164.0
Bali,Telur dan susu/Eggs and milk,urban,41085.0
Bali,Sayur-sayuran/Vegetables,urban,62334.0
Bali,Kacang-kacangan/Legumes,urban,14553.0
Bali,Buah-buahan/Fruits,urban,48332.0
Bali,Minyak dan kelapa/Oil and coconut,urban,15064.0
Bali,Bahan minuman/Beverages stuffs,urban,17155.0
Bali,Bumbu-bumbuan/Spices,urban,15892.0
Bali,Konsumsi lainnya/Miscellaneous food items,urban,11806.0
Bali,Makanan dan minuman jadi/Prepared food and beverages,urban,333486.0
Bali,Rokok/Cigarettes,urban,67112.0
Bali,Jumlah makanan/Total food,urban,852203.0
Bali,Perumahan dan fasilitas rumah tangga/Housing and household facilities,urban,667959.0
Bali,Aneka barang dan jasa/Goods and services,urban,247628.0
Bali,"Pakaian, alas kaki, dan tutup kepala/Clothing, footwear, and headgear",urban,29158.0
Bali,Barang tahan lama/Durable goods,urban,77716.0
Bali,"Pajak, pungutan, dan asuransi/Taxes and insurance",urban,97501.0
Bali,Keperluan pesta dan upacara/kenduri/Parties and ceremonies,urban,105292.0
Bali,Jumlah bukan makanan/Total non-food,urban,1225254.0
Bali,Jumlah/Total,urban,2077457.0
Bali,Padi-padian/Cereals,rural,118093.0
Bali,Umbi-umbian/Tubers,rural,5353.0
Bali,Ikan/udang/cumi/kerang/Fish/shrimp/common squid/shells,rural,29089.0
Bali,Daging/Meat,rural,79401.0
Bali,Telur dan susu/Eggs and milk,rural,27573.0
Bali,Sayur-sayuran/Vegetables,rural,60286.0
Bali,Kacang-kacangan/Legumes,rural,12716.0
Bali,Buah-buahan/Fruits,rural,51581.0
Bali,Minyak dan kelapa/Oil and coconut,rural,16234.0
Bali,Bahan minuman/Beverages stuffs,rural,16565.0
